级别,车型,报价(单位：万)
小型车,凯翼E3,暂无报价
小型车,欧朗,暂无报价
小型车,名爵3SW,"('8.77', '8.77')"
小型车,启辰R30,暂无报价
小型车,瑞奕,"('7.29', '9.99')"
小型车,派喜,暂无报价
小型车,森雅,暂无报价
小型车,威乐,暂无报价
小型车,传祺GA3S PHEV,"('16.48', '17.48')"
小型车,绅宝D20,暂无报价
小型车,标致207(进口),暂无报价
小型车,迷迪,暂无报价
小型车,江铃E160,暂无报价
小型车,和悦A30,暂无报价
小型车,伊比飒,暂无报价
小型车,全球鹰K17,暂无报价
小型车,欧力威EV,暂无报价
小型车,力帆330,暂无报价
小型车,中华H230EV,"('16.98', '17.98')"
小型车,力帆530,暂无报价
小型车,和悦A13RS,暂无报价
小型车,力帆330EV,暂无报价
紧凑型车,高尔夫,"('12.98', '18.02')"
紧凑型车,英朗,"('11.99', '12.59')"
紧凑型车,宝来,"('9.88', '15.70')"
紧凑型车,朗逸,"('9.99', '16.19')"
紧凑型车,速腾,"('12.89', '19.29')"
紧凑型车,轩逸,"('9.98', '14.30')"
紧凑型车,星瑞,"('11.37', '14.97')"
紧凑型车,思域,"('11.99', '16.99')"
紧凑型车,奥迪A3,"('19.32', '24.97')"
紧凑型车,福克斯,"('10.88', '15.38')"
紧凑型车,卡罗拉,"('10.98', '15.98')"
紧凑型车,明锐,"('9.99', '16.14')"
紧凑型车,逸动,"('7.29', '10.39')"
紧凑型车,雷凌,"('11.38', '15.28')"
紧凑型车,领克03,"('11.38', '24.88')"
紧凑型车,桑塔纳,"('8.69', '11.59')"
紧凑型车,科鲁泽,"('8.99', '12.29')"
紧凑型车,帝豪,"('6.98', '9.88')"
紧凑型车,马自达3 昂克赛拉,"('11.59', '18.99')"
紧凑型车,名爵6,"('9.38', '14.28')"
紧凑型车,帝豪GL,"('7.78', '13.98')"
紧凑型车,威朗,"('15.29', '18.29')"
紧凑型车,微蓝6,"('15.98', '19.98')"
紧凑型车,荣威i5,"('6.89', '11.59')"
紧凑型车,凯越,"('8.39', '9.99')"
紧凑型车,骐达TIIDA,"('9.99', '13.59')"
紧凑型车,艾瑞泽5,"('4.99', '8.58')"
紧凑型车,宝马1系,"('19.88', '26.38')"
紧凑型车,悦动,"('8.49', '11.59')"
紧凑型车,凌派,"('9.98', '16.98')"
紧凑型车,菲斯塔,"('11.98', '15.48')"
紧凑型车,奔驰A级,"('21.18', '29.98')"
紧凑型车,凌渡,"('14.29', '19.69')"
紧凑型车,起亚K3,"('9.88', '13.18')"
紧凑型车,科沃兹,"('7.99', '9.99')"
紧凑型车,缤瑞,"('7.58', '11.08')"
紧凑型车,名爵5,"('6.79', '10.49')"
紧凑型车,比亚迪F3,"('4.49', '5.08')"
紧凑型车,沃兰多,"('11.49', '15.99')"
紧凑型车,远景,"('4.99', '7.39')"
紧凑型车,领动,"('10.98', '14.68')"
紧凑型车,艾瑞泽5 PLUS,"('6.99', '9.99')"
紧凑型车,比亚迪e2,"('8.98', '14.48')"
紧凑型车,捷达VA3,"('6.58', '9.28')"
紧凑型车,伊兰特,"('9.98', '14.18')"
紧凑型车,启辰D60,"('6.98', '9.98')"
紧凑型车,标致408,"('11.77', '16.97')"
紧凑型车,福睿斯,"('8.08', '11.68')"
紧凑型车,高尔夫·嘉旅,"('12.88', '19.28')"
紧凑型车,享域,"('9.98', '16.69')"
紧凑型车,宝骏310W,"('4.28', '7.28')"
紧凑型车,艾瑞泽GX,"('7.59', '11.39')"
紧凑型车,秦Pro,"('7.98', '11.59')"
紧凑型车,昕锐,"('7.79', '9.99')"
紧凑型车,奔驰B级,"('23.98', '33.18')"
紧凑型车,逸动DT,"('5.29', '8.09')"
紧凑型车,嘉悦A5,"('8.48', '11.58')"
紧凑型车,雷克萨斯CT,"('21.50', '28.20')"
紧凑型车,秦Pro新能源,"('13.69', '20.69')"
紧凑型车,观致3,"('9.89', '15.39')"
紧凑型车,奔驰CLA,"('29.98', '38.58')"
紧凑型车,Aion S,"('13.98', '20.58')"
紧凑型车,宝马2系,"('26.38', '33.98')"
紧凑型车,蓝鸟,"('9.59', '13.39')"
紧凑型车,C-TREK蔚领,"('11.39', '15.89')"
紧凑型车,奕炫,"('6.99', '10.09')"
紧凑型车,荣威i6,"('8.98', '13.98')"
紧凑型车,昕动,"('7.79', '10.99')"
紧凑型车,阅朗,"('13.19', '14.69')"
紧凑型车,福瑞迪,"('7.88', '10.28')"
紧凑型车,荣威Ei5,"('12.88', '16.11')"
紧凑型车,荣威i6 MAX,"('10.98', '12.58')"
紧凑型车,秦新能源,"('12.99', '20.99')"
紧凑型车,奔驰A级(进口),"('23.28', '31.28')"
紧凑型车,东南A5翼舞,"('4.99', '7.89')"
紧凑型车,宝马1系(进口),"('23.18', '42.98')"
紧凑型车,卡罗拉双擎E+,"('20.78', '23.08')"
紧凑型车,新宝骏RC-5,"('5.98', '11.28')"
紧凑型车,逸动XT,"('7.79', '11.19')"
紧凑型车,思皓A5,"('7.88', '11.58')"
紧凑型车,福美来,"('6.88', '9.28')"
紧凑型车,奔驰A级AMG(进口),"('39.98', '57.98')"
紧凑型车,奥迪S3,"('36.38', '36.38')"
紧凑型车,R汽车 ER6,"('16.28', '20.08')"
紧凑型车,雷凌双擎E+,"('20.38', '21.88')"
紧凑型车,秦,"('6.49', '8.19')"
紧凑型车,高尔夫(进口),"('20.98', '37.28')"
紧凑型车,传祺GA4,"('7.38', '11.58')"
紧凑型车,BEIJING-EU5,"('12.99', '17.19')"
紧凑型车,奔驰A级AMG,"('39.98', '41.98')"
紧凑型车,比亚迪e3,"('10.38', '16.48')"
紧凑型车,荣威i6新能源,"('14.78', '20.18')"
紧凑型车,朗逸纯电,"('14.89', '14.89')"
紧凑型车,广汽丰田iA5,"('16.98', '19.28')"
紧凑型车,福克斯Active,"('13.98', '15.38')"
紧凑型车,帝豪新能源,"('13.58', '15.98')"
紧凑型车,欧拉iQ,"('11.48', '15.03')"
紧凑型车,领克03新能源,"('16.87', '19.87')"
紧凑型车,秦PLUS,"('10.58', '14.58')"
紧凑型车,高尔夫·纯电,"('14.77', '16.88')"
紧凑型车,奔驰CLA AMG,"('43.98', '59.98')"
紧凑型车,畅巡,"('15.99', '17.99')"
紧凑型车,几何A,"('15.00', '19.00')"
紧凑型车,北汽昌河A6,"('5.98', '9.98')"
紧凑型车,景逸S50,"('4.89', '15.18')"
紧凑型车,奥迪RS 3,"('51.38', '51.38')"
紧凑型车,逸动新能源,"('12.99', '13.99')"
紧凑型车,名爵6新能源,"('14.58', '17.58')"
紧凑型车,奥迪A3(进口),"('33.58', '33.58')"
紧凑型车,BEIJING-U5,"('6.99', '9.99')"
紧凑型车,轩逸·纯电,"('23.80', '25.40')"
紧凑型车,艾瑞泽5e,"('15.98', '15.98')"
紧凑型车,菲斯塔纯电动,"('17.38', '19.88')"
紧凑型车,宝来·纯电,"('13.68', '14.68')"
紧凑型车,东风风神E70,"('13.58', '15.98')"
紧凑型车,帝豪GL新能源,"('15.28', '16.48')"
紧凑型车,奔腾B30EV,"('18.98', '18.98')"
紧凑型车,福克斯(进口),"('24.28', '37.88')"
紧凑型车,艾瑞泽e,"('10.98', '15.48')"
紧凑型车,雪铁龙C3L,"('8.49', '10.59')"
紧凑型车,启辰D60EV,"('15.01', '17.88')"
紧凑型车,江淮iEVA50,"('13.95', '14.55')"
紧凑型车,领动插电混动,"('15.78', '17.88')"
紧凑型车,逸动ET,"('13.29', '14.29')"
紧凑型车,高尔夫新能源(进口),"('24.08', '24.08')"
紧凑型车,俊风E11K,"('23.38', '23.38')"
紧凑型车,风行S50EV,"('13.99', '24.07')"
紧凑型车,江淮iC5,"('14.99', '17.59')"
紧凑型车,起亚K3新能源,"('20.98', '25.98')"
紧凑型车,奕炫EV,"('14.98', '15.98')"
紧凑型车,Polestar 2,"('33.80', '41.80')"
紧凑型车,e爱丽舍,"('12.98', '13.98')"
紧凑型车,绎乐,"('16.78', '18.98')"
紧凑型车,速达SA01,"('17.00', '17.00')"
紧凑型车,凯翼E5 EV,"('13.98', '14.58')"
紧凑型车,LEON,暂无报价
紧凑型车,朗动,"('11.58', '12.78')"
紧凑型车,捷达,"('7.98', '10.68')"
紧凑型车,标致308,暂无报价
紧凑型车,科鲁兹,暂无报价
紧凑型车,雪铁龙C4L,暂无报价
紧凑型车,奔腾B50,暂无报价
紧凑型车,标致307,暂无报价
紧凑型车,爱丽舍,暂无报价
紧凑型车,天语 SX4,暂无报价
紧凑型车,速锐,暂无报价
紧凑型车,阳光,暂无报价
紧凑型车,沃尔沃V40,暂无报价
紧凑型车,标致301,暂无报价
紧凑型车,启悦,暂无报价
紧凑型车,北汽新能源EU,"('7.98', '7.98')"
紧凑型车,甲壳虫,暂无报价
紧凑型车,翼神,暂无报价
紧凑型车,东风风神A60,暂无报价
紧凑型车,朗行,"('11.29', '16.29')"
紧凑型车,长城C50,暂无报价
紧凑型车,世嘉,暂无报价
紧凑型车,菲翔,暂无报价
紧凑型车,绅宝D50,暂无报价
紧凑型车,海马M3,暂无报价
紧凑型车,荣威360,暂无报价
紧凑型车,艾瑞泽7,暂无报价
紧凑型车,奔腾B30,暂无报价
紧凑型车,比亚迪L3,暂无报价
紧凑型车,马自达3星骋,暂无报价
紧凑型车,和悦,暂无报价
紧凑型车,比亚迪e5,"('22.07', '23.07')"
紧凑型车,中华H530,"('8.58', '13.98')"
紧凑型车,东风风神H30,暂无报价
紧凑型车,Veloster飞思,"('17.28', '21.98')"
紧凑型车,莲花L3,暂无报价
紧凑型车,标致308s,暂无报价
紧凑型车,蓝瑟,暂无报价
紧凑型车,比亚迪G3,暂无报价
紧凑型车,中华H330,暂无报价
紧凑型车,沃尔沃S40,暂无报价
紧凑型车,传祺GA3,暂无报价
紧凑型车,莲花L5,暂无报价
紧凑型车,比亚迪G5,"('7.59', '10.29')"
紧凑型车,致悦,暂无报价
紧凑型车,天语 尚悦,暂无报价
紧凑型车,骏派A50,暂无报价
紧凑型车,众泰Z360,暂无报价
紧凑型车,传祺GA3S视界,暂无报价
紧凑型车,VELITE 5,暂无报价
紧凑型车,LANCER,暂无报价
紧凑型车,朗境,"('14.89', '17.19')"
紧凑型车,中华H320,暂无报价
紧凑型车,福美来F5,暂无报价
紧凑型车,锐行,暂无报价
紧凑型车,起亚K3S,暂无报价
紧凑型车,长城C30新能源,暂无报价
紧凑型车,V3菱悦,暂无报价
紧凑型车,纳5,暂无报价
紧凑型车,中华H3,暂无报价
紧凑型车,艾瑞泽3,暂无报价
紧凑型车,DS 5LS,暂无报价
紧凑型车,风朗,"('16.58', '18.98')"
紧凑型车,东风风神A30,"('5.97', '8.57')"
紧凑型车,东风风神L60,暂无报价
紧凑型车,骏派CX65,暂无报价
紧凑型车,骏派A70,暂无报价
紧凑型车,路盛E70,暂无报价
紧凑型车,启辰R50X,"('7.45', '9.28')"
紧凑型车,众泰Z300,"('5.49', '7.58')"
紧凑型车,伊兰特EV,暂无报价
紧凑型车,博悦,暂无报价
紧凑型车,竞速,暂无报价
紧凑型车,梅甘娜,"('33.99', '35.99')"
紧凑型车,风迪思,暂无报价
紧凑型车,绅宝CC,暂无报价
紧凑型车,锐3,暂无报价
紧凑型车,标致307(进口),暂无报价
紧凑型车,奥迪A3新能源(进口),"('39.98', '39.98')"
紧凑型车,晨风,"('24.28', '26.18')"
紧凑型车,力帆X50,暂无报价
紧凑型车,竞悦,暂无报价
紧凑型车,绅宝D60,暂无报价
紧凑型车,力帆720,暂无报价
紧凑型车,海尚,暂无报价
紧凑型车,力帆650EV,暂无报价
紧凑型车,富康ES500,暂无报价
紧凑型车,海马E3,暂无报价
紧凑型车,赛豹III,暂无报价
紧凑型车,力帆630,暂无报价
紧凑型车,力帆620,暂无报价
紧凑型车,骏派A70E,暂无报价
紧凑型车,力帆620EV,"('21.98', '21.98')"
中型车,君威,"('17.28', '25.98')"
中型车,君越,"('21.98', '28.98')"
中型车,凯美瑞,"('17.98', '27.98')"
中型车,奥迪A4L,"('30.58', '39.68')"
中型车,雅阁,"('17.98', '25.98')"
中型车,迈腾,"('18.69', '30.99')"
中型车,宝马3系,"('29.39', '40.99')"
中型车,奔驰C级,"('30.78', '47.48')"
中型车,凯迪拉克CT5,"('27.97', '34.17')"
中型车,帕萨特,"('18.59', '28.29')"
中型车,亚洲龙,"('19.98', '28.98')"
中型车,凯迪拉克CT4,"('23.97', '25.97')"
中型车,天籁,"('17.98', '26.98')"
中型车,迈锐宝XL,"('15.49', '21.99')"
中型车,沃尔沃S60,"('28.69', '38.09')"
中型车,一汽-大众CC,"('24.68', '30.18')"
中型车,红旗H5,"('14.58', '19.08')"
中型车,锐程CC,"('9.49', '12.89')"
中型车,奥迪A5,"('37.18', '55.18')"
中型车,博瑞,"('13.68', '17.98')"
中型车,阿特兹,"('17.58', '24.78')"
中型车,蒙迪欧,"('19.28', '27.98')"
中型车,标致508,"('15.97', '22.57')"
中型车,宝马4系,"('35.98', '61.68')"
中型车,Model 3,"('26.57', '41.98')"
中型车,名图,"('13.38', '16.98')"
中型车,金牛座,"('22.89', '28.89')"
中型车,速派,"('15.49', '22.99')"
中型车,林肯MKZ,"('25.58', '36.98')"
中型车,英菲尼迪Q50L,"('26.48', '38.98')"
中型车,捷豹XEL,"('28.98', '38.06')"
中型车,宝马3系GT,"('35.98', '43.98')"
中型车,沃尔沃V60,"('30.43', '43.99')"
中型车,奥迪S4,"('45.98', '46.88')"
中型车,INSPIRE,"('18.28', '24.98')"
中型车,小鹏汽车P7,"('22.99', '40.99')"
中型车,雪铁龙C6,"('18.99', '27.59')"
中型车,奔驰C级(进口),"('34.68', '45.98')"
中型车,传祺GA6,"('10.88', '16.88')"
中型车,索纳塔,"('16.18', '20.58')"
中型车,蓝鸟,"('9.59', '13.39')"
中型车,奥迪A4(进口),"('34.18', '42.78')"
中型车,K5凯酷,"('16.18', '20.58')"
中型车,宝马M4,"('86.99', '128.89')"
中型车,奥迪S5,"('61.98', '70.88')"
中型车,Giulia,"('37.98', '125.98')"
中型车,BEIJING-U7,"('8.79', '12.29')"
中型车,宝马M3,"('85.89', '108.89')"
中型车,新宝骏RC-6,"('8.48', '12.38')"
中型车,奔驰C级AMG,"('59.98', '116.08')"
中型车,帕萨特新能源,"('24.39', '25.39')"
中型车,力狮,"('20.48', '24.78')"
中型车,蔚揽,"('24.38', '39.28')"
中型车,奥迪RS 5,"('83.68', '86.98')"
中型车,奥迪RS 4,"('81.28', '82.28')"
中型车,沃尔沃S60(进口),暂无报价
中型车,雷克萨斯IS,"('29.80', '41.30')"
中型车,英菲尼迪Q50,"('38.98', '54.98')"
中型车,凯绅,"('13.03', '14.98')"
中型车,捷豹XE,"('43.68', '44.80')"
中型车,博瑞新能源,"('16.98', '18.38')"
中型车,索纳塔插电混动,"('22.28', '25.68')"
中型车,BEIJING-EU7,"('15.99', '17.59')"
中型车,迈腾新能源,"('25.39', '26.89')"
中型车,起亚K5新能源,"('22.28', '23.98')"
中型车,沃尔沃S60新能源,"('39.99', '46.19')"
中型车,DS 9,"('24.99', '33.99')"
中型车,NEVS 93,"('16.98', '16.98')"
中型车,ALPINA B4,"('109.80', '109.80')"
中型车,迈锐宝,"('16.49', '18.99')"
中型车,雪铁龙C5,暂无报价
中型车,凯迪拉克ATS-L,暂无报价
中型车,马自达6,暂无报价
中型车,锐志,暂无报价
中型车,歌诗图,暂无报价
中型车,思铂睿,"('17.99', '26.79')"
中型车,睿骋CC,暂无报价
中型车,睿翼,暂无报价
中型车,致胜,暂无报价
中型车,起亚K4,"('12.88', '18.88')"
中型车,比亚迪G6,暂无报价
中型车,讴歌TLX-L,暂无报价
中型车,传祺GA5,暂无报价
中型车,奔腾B90,暂无报价
中型车,荣威950,暂无报价
中型车,Model 3(进口),暂无报价
中型车,西玛,"('23.48', '26.78')"
中型车,思锐,暂无报价
中型车,睿骋,暂无报价
中型车,海马M6,暂无报价
中型车,凯泽西,暂无报价
中型车,腾势,"('29.88', '32.88')"
中型车,众泰Z560,暂无报价
中型车,华泰B11,暂无报价
中型车,拉古那,暂无报价
中型车,ATENZA,暂无报价
中型车,荣威e950,暂无报价
中型车,纬度,暂无报价
中型车,DS 5(进口),暂无报价
中型车,海马M8,"('10.68', '14.98')"
中型车,力帆820,暂无报价
中型车,江淮iEVA60,暂无报价
中型车,Saab 9-3,暂无报价
中型车,众泰Z500新能源,暂无报价
中大型车,宝马5系,"('42.69', '54.99')"
中大型车,奥迪A6L,"('41.98', '65.38')"
中大型车,奔驰E级,"('43.08', '64.28')"
中大型车,雷克萨斯ES,"('29.00', '48.30')"
中大型车,凯迪拉克CT6,"('37.97', '48.97')"
中大型车,沃尔沃S90,"('37.29', '50.59')"
中大型车,辉昂,"('34.00', '63.90')"
中大型车,红旗H9,"('30.98', '53.98')"
中大型车,奥迪A7,"('57.38', '70.48')"
中大型车,金牛座,"('22.89', '28.89')"
中大型车,宝马5系(进口),"('42.39', '60.39')"
中大型车,汉,"('21.98', '27.95')"
中大型车,奔驰E级(进口),"('42.58', '70.78')"
中大型车,捷豹XFL,"('37.58', '57.88')"
中大型车,宝马6系GT,"('58.39', '68.39')"
中大型车,奥迪A6(进口),"('44.98', '56.98')"
中大型车,林肯大陆,"('36.08', '55.58')"
中大型车,奔驰CLS,"('57.68', '78.98')"
中大型车,宝马M5,"('143.89', '146.89')"
中大型车,红旗H7,"('25.28', '31.78')"
中大型车,捷豹XF,"('45.58', '58.28')"
中大型车,Ghibli,"('72.58', '97.88')"
中大型车,沃尔沃V90,"('44.39', '55.69')"
中大型车,奥迪RS 7,"('144.88', '172.23')"
中大型车,宝马5系新能源,"('49.99', '53.69')"
中大型车,传祺GA8,"('15.68', '22.68')"
中大型车,英菲尼迪Q70,"('38.18', '43.98')"
中大型车,Taycan,"('88.80', '179.80')"
中大型车,Model S,"('73.39', '117.49')"
中大型车,沃尔沃S90新能源,"('49.99', '104.39')"
中大型车,奥迪S6,"('92.98', '92.98')"
中大型车,奔驰E级AMG,"('89.58', '156.08')"
中大型车,奥迪S7,"('100.98', '100.98')"
中大型车,奥迪RS 6,"('135.78', '177.39')"
中大型车,奥迪A6L新能源,"('50.80', '50.80')"
中大型车,奔驰E级新能源,"('50.98', '50.98')"
中大型车,蔚来ET7,"('44.80', '52.60')"
中大型车,Ghibli美版,"('126.00', '129.00')"
中大型车,皇冠,暂无报价
中大型车,凯迪拉克XTS,暂无报价
中大型车,林荫大道,暂无报价
中大型车,宝马6系,"('85.80', '171.80')"
中大型车,沃尔沃S80L,暂无报价
中大型车,宝马M6,"('179.80', '179.80')"
中大型车,荣御,暂无报价
中大型车,克莱斯勒300C(进口),暂无报价
中大型车,克莱斯勒300C,暂无报价
中大型车,奔驰CLS级AMG,"('165.18', '173.58')"
中大型车,捷恩斯,"('37.80', '64.88')"
中大型车,凯迪拉克CT6 PLUG-IN,"('55.88', '65.88')"
中大型车,起亚K9,暂无报价
中大型车,斯汀格,"('27.98', '31.98')"
中大型车,EH系列,暂无报价
中大型车,如虎 XL,"('350.00', '350.00')"
MPV,别克GL8,"('23.29', '52.99')"
MPV,奥德赛,"('22.98', '37.68')"
MPV,传祺M8,"('17.98', '26.48')"
MPV,传祺M6,"('10.98', '15.98')"
MPV,宝骏730,"('6.08', '10.88')"
MPV,别克GL6,"('13.99', '16.99')"
MPV,艾力绅,"('24.98', '32.88')"
MPV,宋MAX,"('7.99', '12.99')"
MPV,途安,"('15.18', '19.48')"
MPV,上汽大通MAXUS G10,"('13.98', '22.98')"
MPV,菱智,"('5.99', '9.99')"
MPV,五菱宏光,"('4.28', '5.88')"
MPV,新宝骏RM-5,"('7.88', '12.08')"
MPV,嘉际,暂无报价
MPV,上汽大通MAXUS G50,"('8.68', '16.70')"
MPV,威霆,"('28.98', '34.18')"
MPV,塞纳加版,"('48.00', '69.80')"
MPV,瑞风M3,"('5.98', '9.48')"
MPV,上汽大通MAXUS G20,"('18.68', '28.98')"
MPV,长安睿行M60,"('5.19', '6.52')"
MPV,瑞风M4,"('9.98', '15.98')"
MPV,五菱荣光,"('3.68', '5.38')"
MPV,途睿欧,"('17.69', '27.58')"
MPV,埃尔法,"('81.90', '87.30')"
MPV,五菱之光,"('3.23', '3.66')"
MPV,宋MAX新能源,"('14.99', '19.98')"
MPV,夏朗,"('24.68', '34.38')"
MPV,奔驰V级,"('47.18', '65.18')"
MPV,五菱荣光V,"('3.98', '4.98')"
MPV,五菱宏光V,"('4.18', '5.45')"
MPV,风光330,"('3.69', '5.19')"
MPV,迈特威,"('42.80', '101.00')"
MPV,塞纳美版,"('43.80', '58.80')"
MPV,阁瑞斯,"('8.88', '27.78')"
MPV,瑞风M5,"('13.95', '16.65')"
MPV,长安欧尚A800,"('6.59', '7.89')"
MPV,东风小康C37,"('5.18', '6.18')"
MPV,瑞风,"('9.99', '16.38')"
MPV,海狮X30L,"('4.68', '5.88')"
MPV,蒙派克E,"('7.46', '10.85')"
MPV,北汽威旺M30,"('4.48', '5.58')"
MPV,小海狮X30,"('3.39', '4.68')"
MPV,塞纳墨版,"('50.00', '64.50')"
MPV,欧诺S,"('3.99', '5.59')"
MPV,宝马2系多功能旅行车,"('26.38', '29.98')"
MPV,长安之星9,"('4.78', '5.48')"
MPV,北汽幻速H2,"('3.98', '6.68')"
MPV,凯路威,"('35.50', '38.20')"
MPV,金杯F50,"('6.25', '10.89')"
MPV,奔驰V级墨版,"('49.80', '79.80')"
MPV,雷克萨斯LM,"('116.60', '146.60')"
MPV,睿行S50,"('4.89', '7.79')"
MPV,东风小康K07S,"('2.89', '3.39')"
MPV,五菱EV50,"('10.80', '11.98')"
MPV,C4 PICASSO,"('21.68', '26.58')"
MPV,Espace,"('25.88', '32.88')"
MPV,瑞驰新能源EC35,"('10.28', '10.28')"
MPV,五菱荣光EV,"('8.38', '9.01')"
MPV,埃尔法欧版,"('125.00', '130.00')"
MPV,汉腾V7,"('7.99', '13.59')"
MPV,大捷龙(进口),"('49.69', '49.69')"
MPV,长安之星5,"('3.49', '3.94')"
MPV,奔驰V级中东版,"('58.00', '68.00')"
MPV,东风小康K05S,"('2.89', '3.59')"
MPV,斯派卡,"('4.99', '7.58')"
MPV,东风小康C56,"('5.58', '5.98')"
MPV,普瑞维亚中东版,"('35.80', '48.00')"
MPV,大捷龙PHEV(进口),"('49.69', '49.69')"
MPV,北汽威旺M20,"('3.68', '4.18')"
MPV,凯路威美版,"('78.80', '92.80')"
MPV,雷克萨斯LM欧版,"('146.00', '235.00')"
MPV,伽途ix5,"('4.19', '5.89')"
MPV,东风小康EC36,"('8.29', '10.79')"
MPV,五菱之光V,"('3.38', '3.68')"
MPV,北汽EV5,"('10.38', '11.38')"
MPV,优优,"('3.45', '4.64')"
MPV,优优EV,"('8.98', '12.28')"
MPV,乐途,"('3.58', '5.98')"
MPV,北汽幻速H2V,"('3.58', '3.98')"
MPV,北汽威旺306,"('3.18', '4.68')"
MPV,菱智M5EV,"('15.79', '16.99')"
MPV,启腾EX80,暂无报价
MPV,北汽昌河M50S,"('4.08', '5.38')"
MPV,上汽MAXUS EG10,"('30.28', '41.68')"
MPV,艾菲,"('12.98', '31.28')"
