价格区间,车型,报价(单位：万)
5-8万,菱智,"('5.99', '9.99')"
5-8万,缤瑞,"('7.58', '11.08')"
5-8万,五菱宏光PLUS,"('5.88', '7.98')"
5-8万,五菱宏光,"('4.28', '5.88')"
5-8万,名爵5,"('6.79', '10.49')"
5-8万,五菱宏光S3,"('5.68', '8.28')"
5-8万,新宝骏RM-5,"('7.88', '12.08')"
5-8万,风光580,"('7.99', '12.30')"
5-8万,比亚迪F3,"('4.49', '5.08')"
5-8万,远景,"('4.99', '7.39')"
5-8万,悦翔,"('4.99', '6.79')"
5-8万,艾瑞泽5 PLUS,"('6.99', '9.99')"
5-8万,捷达VA3,"('6.58', '9.28')"
5-8万,哈弗H6 Coupe,"('7.99', '11.90')"
5-8万,嘉际,暂无报价
5-8万,名爵ZS,"('7.88', '11.28')"
5-8万,启辰D60,"('6.98', '9.98')"
5-8万,传祺GS3,"('7.68', '11.38')"
5-8万,宝骏360,"('5.68', '8.08')"
5-8万,宝骏310W,"('4.28', '7.28')"
5-8万,宝骏310,"('3.68', '6.08')"
5-8万,艾瑞泽GX,"('7.59', '11.39')"
5-8万,五菱荣光新卡,"('4.58', '6.28')"
5-8万,东南DX3,暂无报价
5-8万,哈弗H2,"('7.59', '9.59')"
5-8万,奕跑,"('6.98', '8.28')"
5-8万,哈弗F5,"('7.98', '13.00')"
5-8万,昕锐,"('7.79', '9.99')"
5-8万,逸动DT,"('5.29', '8.09')"
5-8万,秦Pro,"('7.98', '11.59')"
5-8万,金杯海狮,"('6.18', '9.38')"
5-8万,长安CS15,"('5.59', '8.09')"
5-8万,风骏5,"('6.88', '11.28')"
5-8万,宋,"('6.98', '9.38')"
5-8万,瑞风M3,"('5.98', '9.48')"
5-8万,长安神骐T20,"('3.59', '6.38')"
5-8万,小蚂蚁,"('5.98', '7.88')"
5-8万,零跑T03,"('5.98', '7.58')"
5-8万,哈弗H4,"('7.39', '11.50')"
5-8万,长安睿行M80,"('5.85', '7.71')"
5-8万,奔奔E-Star,"('2.98', '7.48')"
5-8万,悦纳,暂无报价
5-8万,捷途X70S,"('7.69', '15.89')"
5-8万,长安睿行M60,"('5.19', '6.52')"
5-8万,五菱宏光S,"('4.28', '5.58')"
5-8万,瑞虎3,"('5.99', '7.99')"
5-8万,五菱荣光,"('3.68', '5.38')"
5-8万,YARiS L 致享,"('7.98', '10.58')"
5-8万,威驰FS,"('7.18', '10.78')"
5-8万,焕驰,"('6.49', '6.89')"
5-8万,欧拉白猫,"('7.18', '8.88')"
5-8万,风行T5,"('6.99', '13.59')"
5-8万,新宝骏RS-3,"('6.38', '9.88')"
5-8万,哪吒V,"('5.99', '12.08')"
5-8万,荣威RX3,"('6.98', '10.43')"
5-8万,奕炫,"('6.99', '10.09')"
5-8万,江淮iEV6E,"('5.95', '7.55')"
5-8万,BEIJING-X3,"('4.99', '9.59')"
5-8万,奔奔EV,"('4.98', '8.18')"
5-8万,昕动,"('7.79', '10.99')"
5-8万,五菱宏光V,"('4.18', '5.45')"
5-8万,福瑞迪,"('7.88', '10.28')"
5-8万,奔腾T33,"('6.98', '10.59')"
5-8万,捷途X70M,"('6.49', '9.59')"
5-8万,风行T5L,"('7.99', '17.69')"
5-8万,哪吒N01,"('6.68', '13.98')"
5-8万,风行SX6,"('5.99', '9.49')"
5-8万,长安欧尚X70A,"('5.25', '6.95')"
5-8万,长安欧尚科赛5,"('5.39', '8.29')"
5-8万,比亚迪e1,"('5.99', '7.99')"
5-8万,北汽新能源EC3,"('7.38', '7.98')"
5-8万,风光S560,"('6.59', '9.69')"
5-8万,风光330,"('3.69', '5.19')"
5-8万,中华V3,"('5.07', '8.77')"
5-8万,东南A5翼舞,"('4.99', '7.89')"
5-8万,BJ 212,"('7.77', '10.48')"
5-8万,瑞风S3,"('6.79', '8.79')"
5-8万,长安欧尚科尚,"('7.98', '16.08')"
5-8万,海马8S,"('7.99', '13.69')"
5-8万,新豹T3,"('4.10', '5.18')"
5-8万,VGV U70,"('6.99', '11.89')"
5-8万,新宝骏RC-5,"('5.98', '11.28')"
5-8万,奕炫GS,"('7.49', '10.89')"
5-8万,长安睿行M90,"('6.85', '9.25')"
5-8万,逸动XT,"('7.79', '11.19')"
5-8万,思皓A5,"('7.88', '11.58')"
5-8万,睿行M70,"('6.05', '7.40')"
5-8万,福美来,"('6.88', '9.28')"
5-8万,长安欧尚A800,"('6.59', '7.89')"
5-8万,东风小康C37,"('5.18', '6.18')"
5-8万,宝骏E100,"('4.98', '5.98')"
5-8万,瑞风S4,"('7.58', '9.88')"
5-8万,长安欧尚A600,"('4.99', '8.49')"
5-8万,海狮X30L,"('4.68', '5.88')"
5-8万,秦,"('6.49', '8.19')"
5-8万,传祺GA4,"('7.38', '11.58')"
5-8万,北汽威旺M30,"('4.48', '5.58')"
5-8万,宝骏E200,"('5.48', '6.48')"
5-8万,科莱威CLEVER,"('4.60', '6.00')"
5-8万,蒙派克E,"('7.46', '10.85')"
5-8万,SWM斯威X7,"('6.39', '10.59')"
5-8万,风光500,"('5.48', '7.48')"
5-8万,金杯快运,"('6.99', '9.63')"
5-8万,汉腾X7,"('7.88', '15.68')"
5-8万,风景G7,"('7.16', '10.66')"
5-8万,东风小康C32,"('3.89', '5.19')"
5-8万,欧诺S,"('3.99', '5.59')"
5-8万,江铃E200L,"('5.38', '6.38')"
5-8万,新宝骏E300,"('6.48', '8.48')"
5-8万,东南DX5,"('6.99', '9.99')"
5-8万,哈弗初恋,"('7.89', '11.29')"
5-8万,跨越王X5,"('5.20', '6.52')"
5-8万,汉腾X5,"('5.98', '10.68')"
5-8万,长安之星9,"('4.78', '5.48')"
5-8万,福瑞达K21,"('3.74', '7.03')"
5-8万,福瑞达K22,"('3.94', '7.05')"
5-8万,东风小康D51,"('4.09', '5.39')"
5-8万,东风风神AX4,"('7.59', '9.39')"
5-8万,欧尚长行,"('5.99', '6.49')"
5-8万,SWM斯威G05,"('6.99', '11.99')"
5-8万,拓陆者,"('7.78', '19.88')"
5-8万,金杯T52,"('4.88', '6.18')"
5-8万,北汽幻速H2,"('3.98', '6.68')"
5-8万,金杯F50,"('6.25', '10.89')"
5-8万,祥菱M,"('4.70', '6.15')"
5-8万,新豹2,"('4.07', '5.48')"
5-8万,江铃E200N,"('5.68', '6.68')"
5-8万,睿行S50,"('4.89', '7.79')"
5-8万,海狮S,"('5.08', '6.38')"
5-8万,北汽昌河A6,"('5.98', '9.98')"
5-8万,凯翼X3,"('6.39', '7.59')"
5-8万,开瑞K60,"('4.99', '6.69')"
5-8万,景逸S50,"('4.89', '15.18')"
5-8万,炫界,"('5.89', '8.49')"
5-8万,长安神骐F30,"('4.76', '6.38')"
5-8万,金杯T32,"('3.69', '5.08')"
5-8万,锐骐,"('7.78', '12.78')"
5-8万,BEIJING-U5,"('6.99', '9.99')"
5-8万,易至EV3,"('6.68', '8.38')"
5-8万,嘉悦X4,"('7.28', '9.98')"
5-8万,凯翼X5,"('7.89', '10.49')"
5-8万,雷诺 e诺,"('6.18', '7.18')"
5-8万,SWM斯威X3,"('5.50', '6.69')"
5-8万,新豹3,"('4.62', '5.99')"
5-8万,金杯T50,"('4.58', '5.68')"
5-8万,福田奥铃捷运,"('4.00', '14.56')"
5-8万,金旅海狮,"('7.08', '10.78')"
5-8万,汉腾V7,"('7.99', '13.59')"
5-8万,跨越王X1,"('3.96', '5.08')"
5-8万,骐铃T100,"('5.28', '7.18')"
5-8万,斯派卡,"('4.99', '7.58')"
5-8万,风景G5,"('7.47', '15.39')"
5-8万,北汽幻速H6,"('5.98', '7.53')"
5-8万,东风小康C56,"('5.58', '5.98')"
5-8万,枫叶30X,"('6.88', '9.58')"
5-8万,黄海N2,"('7.28', '16.58')"
5-8万,长安欧尚科赛3,"('5.99', '7.69')"
5-8万,威虎,"('6.98', '10.08')"
5-8万,黄海N1,"('6.68', '11.18')"
5-8万,东风小康D52,"('4.39', '5.69')"
5-8万,跨越王X3,"('4.80', '5.64')"
5-8万,伽途ix5,"('4.19', '5.89')"
5-8万,优劲,"('3.29', '6.24')"
5-8万,长安神骐T10,"('3.99', '5.09')"
5-8万,SWM斯威G01,"('7.99', '12.59')"
5-8万,海马爱尚EV,"('3.98', '12.38')"
5-8万,祥菱V,"('4.03', '5.64')"
5-8万,金威,"('6.75', '9.58')"
5-8万,乐途,"('3.58', '5.98')"
5-8万,尼欧Ⅱ,"('3.99', '10.08')"
5-8万,雷丁i3,"('4.98', '6.28')"
5-8万,北汽昌河M50S,"('4.08', '5.38')"
5-8万,凯锐浩克,"('7.58', '18.80')"
5-8万,启腾EX80,暂无报价
5-8万,小老虎,"('5.60', '7.58')"
5-8万,跨越者D5,"('5.93', '6.77')"
5-8万,长安星卡L1,"('3.99', '5.04')"
5-8万,骐铃T7,"('7.28', '11.38')"
5-8万,伽途ix7,"('5.39', '6.59')"
5-8万,福田征服者,"('7.78', '10.78')"
5-8万,长安跨越V5,"('4.39', '5.88')"
5-8万,东风小康C35,"('5.08', '5.38')"
5-8万,东风小康C36,"('4.98', '5.28')"
5-8万,萨普,"('5.88', '9.59')"
5-8万,陆风荣曜,"('7.99', '9.99')"
5-8万,风景V5,"('3.68', '5.18')"
5-8万,越铃,"('5.17', '7.58')"
5-8万,东风小康C52,"('4.99', '5.39')"
5-8万,博骏,"('4.99', '12.99')"
5-8万,大柴神,"('6.28', '8.98')"
5-8万,牧马人美版,暂无报价
5-8万,森雅R8,"('7.49', '8.99')"
5-8万,睿行S50T,"('6.19', '7.89')"
5-8万,福田风景,暂无报价
8-10万,哈弗H6,"('9.80', '15.49')"
8-10万,宝来,"('9.88', '15.70')"
8-10万,朗逸,"('9.99', '16.19')"
8-10万,轩逸,"('9.98', '14.30')"
8-10万,瑞虎8,"('8.88', '15.99')"
8-10万,捷途X90,"('7.99', '14.29')"
8-10万,长安欧尚X5,"('6.99', '10.29')"
8-10万,哈弗M6,"('6.60', '9.29')"
8-10万,五菱凯捷,"('8.58', '13.48')"
8-10万,明锐,"('9.99', '16.14')"
8-10万,捷途X70 PLUS,"('7.70', '13.90')"
8-10万,长安欧尚X7,"('7.77', '12.99')"
8-10万,逸动,"('7.29', '10.39')"
8-10万,传祺GS4,"('8.98', '15.18')"
8-10万,长安CS35PLUS,"('6.99', '10.99')"
8-10万,捷达VS5,"('8.48', '11.28')"
8-10万,宝骏530,"('7.08', '11.58')"
8-10万,宝骏510,"('5.08', '8.08')"
8-10万,博越,"('8.88', '14.68')"
8-10万,桑塔纳,"('8.69', '11.59')"
8-10万,科鲁泽,"('8.99', '12.29')"
8-10万,宝骏730,"('6.08', '10.88')"
8-10万,长安CS55PLUS,"('9.19', '11.69')"
8-10万,威驰,"('7.38', '11.18')"
8-10万,帝豪,"('6.98', '9.88')"
8-10万,YARiS L 致炫,"('7.78', '10.38')"
8-10万,Polo,"('9.99', '12.39')"
8-10万,柯米克,"('8.99', '12.59')"
8-10万,瑞虎5x,"('5.99', '11.09')"
8-10万,捷途X70,"('6.99', '12.29')"
8-10万,宋Pro,"('8.98', '12.99')"
8-10万,名爵6,"('9.38', '14.28')"
8-10万,帝豪GL,"('7.78', '13.98')"
8-10万,飞度,"('7.38', '10.88')"
8-10万,远景X6,"('6.89', '9.99')"
8-10万,荣威RX5,"('9.98', '13.98')"
8-10万,荣威i5,"('6.89', '11.59')"
8-10万,凯越,"('8.39', '9.99')"
8-10万,骐达TIIDA,"('9.99', '13.59')"
8-10万,瑞虎7,"('7.99', '14.98')"
8-10万,长安CS55,"('8.29', '13.39')"
8-10万,锐程CC,"('9.49', '12.89')"
8-10万,宋MAX,"('7.99', '12.99')"
8-10万,艾瑞泽5,"('4.99', '8.58')"
8-10万,凌派,"('9.98', '16.98')"
8-10万,悦动,"('8.49', '11.59')"
8-10万,欧拉黑猫,"('6.98', '8.48')"
8-10万,帝豪GS,"('7.78', '11.68')"
8-10万,东风风神AX7,"('8.98', '14.39')"
8-10万,奔腾T77,"('8.98', '13.88')"
8-10万,缤越,"('7.58', '11.98')"
8-10万,科沃兹,"('7.99', '9.99')"
8-10万,起亚K3,"('9.88', '13.18')"
8-10万,菱智,"('5.99', '9.99')"
8-10万,缤瑞,"('7.58', '11.08')"
8-10万,炮,"('9.78', '20.78')"
8-10万,名爵5,"('6.79', '10.49')"
8-10万,捷途X95,"('9.99', '15.29')"
8-10万,五菱宏光S3,"('5.68', '8.28')"
8-10万,新宝骏RM-5,"('7.88', '12.08')"
8-10万,风光580,"('7.99', '12.30')"
8-10万,风骏7,"('8.68', '13.88')"
8-10万,艾瑞泽5 PLUS,"('6.99', '9.99')"
8-10万,比亚迪e2,"('8.98', '14.48')"
8-10万,伊兰特,"('9.98', '14.18')"
8-10万,长安欧尚科赛Pro,"('8.59', '15.29')"
8-10万,吉利icon,"('9.98', '12.88')"
8-10万,劲客,"('9.98', '13.88')"
8-10万,捷达VA3,"('6.58', '9.28')"
8-10万,哈弗H6 Coupe,"('7.99', '11.90')"
8-10万,嘉际,暂无报价
8-10万,名爵ZS,"('7.88', '11.28')"
8-10万,启辰D60,"('6.98', '9.98')"
8-10万,传祺GS3,"('7.68', '11.38')"
8-10万,宝骏360,"('5.68', '8.08')"
8-10万,上汽大通MAXUS ,"('8.68', '16.70')"
8-10万,享域,"('9.98', '16.69')"
8-10万,图雅诺,"('9.57', '22.98')"
8-10万,福睿斯,"('8.08', '11.68')"
8-10万,艾瑞泽GX,"('7.59', '11.39')"
8-10万,东南DX3,暂无报价
8-10万,哈弗H2,"('7.59', '9.59')"
8-10万,奕跑,"('6.98', '8.28')"
8-10万,哈弗F5,"('7.98', '13.00')"
8-10万,昕锐,"('7.79', '9.99')"
8-10万,逸动DT,"('5.29', '8.09')"
8-10万,秦Pro,"('7.98', '11.59')"
8-10万,金杯海狮,"('6.18', '9.38')"
8-10万,嘉悦A5,"('8.48', '11.58')"
8-10万,创酷,"('9.99', '13.99')"
8-10万,长安CS15,"('5.59', '8.09')"
8-10万,风骏5,"('6.88', '11.28')"
8-10万,宋,"('6.98', '9.38')"
8-10万,瑞风M3,"('5.98', '9.48')"
8-10万,哈弗H4,"('7.39', '11.50')"
8-10万,观致3,"('9.89', '15.39')"
8-10万,悦纳,暂无报价
8-10万,捷途X70S,"('7.69', '15.89')"
8-10万,瑞风M4,"('9.98', '15.98')"
8-10万,上汽MAXUS T6,"('8.98', '21.38')"
8-10万,新宝骏RS-5,"('9.78', '13.58')"
8-10万,YARiS L 致享,"('7.98', '10.58')"
8-10万,威驰FS,"('7.18', '10.78')"
8-10万,欧拉白猫,"('7.18', '8.88')"
8-10万,风行T5,"('6.99', '13.59')"
8-10万,新宝骏RS-3,"('6.38', '9.88')"
8-10万,蓝鸟,"('9.59', '13.39')"
8-10万,哪吒V,"('5.99', '12.08')"
8-10万,荣威RX3,"('6.98', '10.43')"
8-10万,元新能源,"('8.99', '13.99')"
8-10万,奕炫,"('6.99', '10.09')"
8-10万,BEIJING-X3,"('4.99', '9.59')"
8-10万,奔奔EV,"('4.98', '8.18')"
8-10万,荣威i6,"('8.98', '13.98')"
8-10万,昕动,"('7.79', '10.99')"
8-10万,劲炫ASX,"('9.98', '13.98')"
8-10万,启辰T60,"('8.68', '11.88')"
8-10万,锐骐6,"('8.98', '17.98')"
8-10万,MG领航,"('9.98', '15.98')"
8-10万,福瑞迪,"('7.88', '10.28')"
8-10万,雪铁龙C3-XR,"('9.48', '11.89')"
8-10万,奔腾T33,"('6.98', '10.59')"
8-10万,捷途X70M,"('6.49', '9.59')"
8-10万,风行T5L,"('7.99', '17.69')"
8-10万,哪吒N01,"('6.68', '13.98')"
8-10万,风行SX6,"('5.99', '9.49')"
8-10万,东南DX7,"('8.99', '13.99')"
8-10万,特顺,"('9.58', '13.90')"
8-10万,长安欧尚科赛5,"('5.39', '8.29')"
8-10万,风光S560,"('6.59', '9.69')"
8-10万,中华V3,"('5.07', '8.77')"
8-10万,BJ 212,"('7.77', '10.48')"
8-10万,瑞风S3,"('6.79', '8.79')"
8-10万,上汽大通MAXUS ,"('8.98', '20.48')"
8-10万,长安欧尚科尚,"('7.98', '16.08')"
8-10万,海马8S,"('7.99', '13.69')"
8-10万,BEIJING-U7,"('8.79', '12.29')"
8-10万,风骏6,"('8.68', '11.78')"
8-10万,阁瑞斯,"('8.88', '27.78')"
8-10万,VGV U70,"('6.99', '11.89')"
8-10万,启辰T70,"('8.98', '12.78')"
8-10万,新宝骏RC-6,"('8.48', '12.38')"
8-10万,新宝骏RC-5,"('5.98', '11.28')"
8-10万,捷途X70 Coup,"('9.29', '12.99')"
8-10万,奕炫GS,"('7.49', '10.89')"
8-10万,长安睿行M90,"('6.85', '9.25')"
8-10万,逸动XT,"('7.79', '11.19')"
8-10万,思皓A5,"('7.88', '11.58')"
8-10万,瑞迈,"('8.38', '13.58')"
8-10万,福美来,"('6.88', '9.28')"
8-10万,北汽新能源EC5,"('9.99', '11.99')"
8-10万,思皓X8,"('8.88', '13.58')"
8-10万,瑞风S4,"('7.58', '9.88')"
8-10万,长安欧尚A600,"('4.99', '8.49')"
8-10万,瑞风,"('9.99', '16.38')"
8-10万,宝典,"('8.28', '10.93')"
8-10万,风光ix5,"('9.98', '13.98')"
8-10万,秦,"('6.49', '8.19')"
8-10万,传祺GA4,"('7.38', '11.58')"
8-10万,江淮T8,"('8.88', '16.28')"
8-10万,蒙派克E,"('7.46', '10.85')"
8-10万,SWM斯威X7,"('6.39', '10.59')"
8-10万,金杯快运,"('6.99', '9.63')"
8-10万,江淮iEV7S,"('9.35', '10.95')"
8-10万,域虎5,"('9.68', '13.63')"
8-10万,汉腾X7,"('7.88', '15.68')"
8-10万,风景G7,"('7.16', '10.66')"
8-10万,江淮T6,"('8.68', '13.48')"
8-10万,勇士,"('9.98', '16.17')"
8-10万,新宝骏E300,"('6.48', '8.48')"
8-10万,东南DX5,"('6.99', '9.99')"
8-10万,哈弗初恋,"('7.89', '11.29')"
8-10万,汉腾X5,"('5.98', '10.68')"
8-10万,LIFE,"('9.78', '11.28')"
8-10万,长安凯程F70,"('9.28', '14.18')"
8-10万,嘉悦X7,"('8.98', '13.98')"
8-10万,东风风神AX4,"('7.59', '9.39')"
8-10万,菱智PLUS,"('9.99', '13.19')"
8-10万,风光580Pro,"('9.29', '12.09')"
8-10万,SWM斯威G05,"('6.99', '11.99')"
8-10万,拓陆者,"('7.78', '19.88')"
8-10万,风景G9,"('9.98', '19.00')"
8-10万,金杯F50,"('6.25', '10.89')"
8-10万,瑞虎3xe,"('9.38', '10.68')"
8-10万,北汽昌河A6,"('5.98', '9.98')"
8-10万,景逸S50,"('4.89', '15.18')"
8-10万,炫界,"('5.89', '8.49')"
8-10万,域虎3,"('8.98', '12.22')"
8-10万,金杯大海狮,"('9.48', '25.28')"
8-10万,领主,"('8.48', '19.88')"
8-10万,锐骐,"('7.78', '12.78')"
8-10万,BEIJING-U5,"('6.99', '9.99')"
8-10万,战旗,"('8.06', '9.94')"
8-10万,易至EV3,"('6.68', '8.38')"
8-10万,嘉悦X4,"('7.28', '9.98')"
8-10万,凯翼X5,"('7.89', '10.49')"
8-10万,五菱荣光EV,"('8.38', '9.01')"
8-10万,长安CS15EV,"('8.98', '9.88')"
8-10万,福田奥铃捷运,"('4.00', '14.56')"
8-10万,金旅海狮,"('7.08', '10.78')"
8-10万,汉腾V7,"('7.99', '13.59')"
8-10万,风景G5,"('7.47', '15.39')"
8-10万,大乘G60S,"('8.49', '12.19')"
8-10万,上汽大通MAXUS ,"('9.38', '19.00')"
8-10万,枫叶30X,"('6.88', '9.58')"
8-10万,黄海N2,"('7.28', '16.58')"
8-10万,勇士皮卡,"('9.01', '11.56')"
8-10万,威虎,"('6.98', '10.08')"
8-10万,雪铁龙C3L,"('8.49', '10.59')"
8-10万,宝沃BX3,"('9.68', '13.08')"
8-10万,黄海N1,"('6.68', '11.18')"
8-10万,东风小康EC36,"('8.29', '10.79')"
8-10万,SWM斯威G01,"('7.99', '12.59')"
8-10万,海马爱尚EV,"('3.98', '12.38')"
8-10万,金威,"('6.75', '9.58')"
8-10万,优优EV,"('8.98', '12.28')"
8-10万,尼欧Ⅱ,"('3.99', '10.08')"
8-10万,江淮iEV7,"('8.35', '8.95')"
8-10万,TAGA达咖,"('9.98', '13.48')"
8-10万,凯锐浩克,"('7.58', '18.80')"
8-10万,御风P16,"('8.48', '15.18')"
8-10万,骐铃T7,"('7.28', '11.38')"
8-10万,福田征服者,"('7.78', '10.78')"
8-10万,萨普,"('5.88', '9.59')"
8-10万,猎豹CT7,"('8.28', '12.08')"
8-10万,陆风荣曜,"('7.99', '9.99')"
8-10万,博骏,"('4.99', '12.99')"
8-10万,大柴神,"('6.28', '8.98')"
8-10万,牧马人美版,暂无报价
8-10万,森雅R8,"('7.49', '8.99')"
8-10万,福田风景,暂无报价
10-15万,高尔夫,"('12.98', '18.02')"
10-15万,英朗,"('11.99', '12.59')"
10-15万,哈弗H6,"('9.80', '15.49')"
10-15万,宝来,"('9.88', '15.70')"
10-15万,朗逸,"('9.99', '16.19')"
10-15万,速腾,"('12.89', '19.29')"
10-15万,轩逸,"('9.98', '14.30')"
10-15万,星瑞,"('11.37', '14.97')"
10-15万,瑞虎8,"('8.88', '15.99')"
10-15万,长安CS75 PLU,"('10.69', '15.49')"
10-15万,思域,"('11.99', '16.99')"
10-15万,捷途X90,"('7.99', '14.29')"
10-15万,福克斯,"('10.88', '15.38')"
10-15万,长安欧尚X5,"('6.99', '10.29')"
10-15万,卡罗拉,"('10.98', '15.98')"
10-15万,五菱凯捷,"('8.58', '13.48')"
